checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,target,,"(49, 19, 3)",4.748631000518799,0.009921670891344547,4.748641014099121,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747011661529541,0.008390200324356556,1.0013580322265625e-05,0.0,-5.1975250244140625e-05,0.0
pre,random_k,0.0,"(54, 51, 25)",4.748631000518799,0.009921670891344547,4.748671531677246,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470221519470215,0.008390200324356556,4.0531158447265625e-05,0.0,-4.1484832763671875e-05,0.0
pre,random_k,1.0,"(34, 53, 6)",4.748631000518799,0.009921670891344547,4.748709678649902,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747017860412598,0.008390200324356556,7.867813110351562e-05,0.0,-4.57763671875e-05,0.0
pre,random_k,2.0,"(38, 30, 24)",4.748631000518799,0.009921670891344547,4.748676300048828,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747027397155762,0.008390200324356556,4.5299530029296875e-05,0.0,-3.62396240234375e-05,0.0
pre,random_k,3.0,"(14, 26, 18)",4.748631000518799,0.009921670891344547,4.748744964599609,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746976852416992,0.008390200324356556,0.00011396408081054688,0.0,-8.678436279296875e-05,0.0
pre,random_k,4.0,"(17, 4, 29)",4.748631000518799,0.009921670891344547,4.748624324798584,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747058391571045,0.008390200324356556,-6.67572021484375e-06,0.0,-5.245208740234375e-06,0.0
pre,random_k,5.0,"(44, 20, 46)",4.748631000518799,0.009921670891344547,4.74863862991333,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747040271759033,0.008390200324356556,7.62939453125e-06,0.0,-2.3365020751953125e-05,0.0
pre,random_k,6.0,"(39, 31, 25)",4.748631000518799,0.009921670891344547,4.7486982345581055,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470011711120605,0.008390200324356556,6.723403930664062e-05,0.0,-6.246566772460938e-05,0.0
pre,random_k,7.0,"(56, 5, 2)",4.748631000518799,0.009921670891344547,4.748569011688232,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747061252593994,0.008390200324356556,-6.198883056640625e-05,0.0,-2.384185791015625e-06,0.0
pre,random_k,8.0,"(50, 56, 33)",4.748631000518799,0.009921670891344547,4.748581886291504,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747053146362305,0.008390200324356556,-4.9114227294921875e-05,0.0,-1.049041748046875e-05,0.0
pre,random_k,9.0,"(2, 28, 18)",4.748631000518799,0.009921670891344547,4.7486677169799805,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74700403213501,0.008390200324356556,3.6716461181640625e-05,0.0,-5.9604644775390625e-05,0.0
pre,random_k,10.0,"(24, 53, 54)",4.748631000518799,0.009921670891344547,4.748661041259766,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747034549713135,0.008390200324356556,3.0040740966796875e-05,0.0,-2.9087066650390625e-05,0.0
pre,random_k,11.0,"(55, 6, 18)",4.748631000518799,0.009921670891344547,4.7487616539001465,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746992588043213,0.008390200324356556,0.00013065338134765625,0.0,-7.104873657226562e-05,0.0
pre,random_k,12.0,"(14, 32, 31)",4.748631000518799,0.009921670891344547,4.748772621154785,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746979236602783,0.008390200324356556,0.00014162063598632812,0.0,-8.440017700195312e-05,0.0
pre,random_k,13.0,"(7, 42, 23)",4.748631000518799,0.009921670891344547,4.748446464538574,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747119903564453,0.008390200324356556,-0.00018453598022460938,0.0,5.626678466796875e-05,0.0
pre,random_k,14.0,"(48, 8, 41)",4.748631000518799,0.009921670891344547,4.748695373535156,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74704122543335,0.008390200324356556,6.437301635742188e-05,0.0,-2.2411346435546875e-05,0.0
pre,random_k,15.0,"(42, 13, 44)",4.748631000518799,0.009921670891344547,4.748592376708984,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470502853393555,0.008390200324356556,-3.8623809814453125e-05,0.0,-1.33514404296875e-05,0.0
pre,random_k,16.0,"(21, 18, 38)",4.748631000518799,0.009921670891344547,4.748709201812744,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74699068069458,0.008390200324356556,7.82012939453125e-05,0.0,-7.295608520507812e-05,0.0
pre,random_k,17.0,"(43, 6, 13)",4.748631000518799,0.009921670891344547,4.748734474182129,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747004985809326,0.008390200324356556,0.00010347366333007812,0.0,-5.8650970458984375e-05,0.0
